kind	source	source_line	title_pt	statement_sha256
theorem	appendices/app_b_finite_representation.tex	74	Monotonicidade das consultas e dos consumidores	73ede83953d27a944b3683cb328809c8545186e0cb30006e4744c482e07399ed
theorem	appendices/app_b_finite_representation.tex	201	Álgebra dos consumidores e primeira perda	cbf9fe7f84249320dd7ab92a0c1a007cff5000bc7978d0c21768b8bf4e82185e
lemma	appendices/app_b_finite_representation.tex	237	Leis do fecho	1ee8670e22fe0fd8f9211e646dc780a6d469de3a1ac6392bfe156193af4b7acc
theorem	appendices/app_b_finite_representation.tex	309	Informação finita dos consumidores	ec3dc9e96e53745296746c0ffe22c3eb34f9c885b119402fb9fcd55a06f40b1c
definition	appendices/app_i_context_flux_support.tex	11	Ponte exata vencedor--KKT	7ddc07a002c081fee6a433d4a74c1d1a0a648855e9e7590b4e45d2ff2d6ada82
