outer_fold,inner_fold,analysis_variant,information_protocol,approximation,rho_prior,hu_tau,model,alpha,training_block_hash,grammar_fit_hash,validation_scoreable_roots,pooled_root_balanced_mean_log_density,selected_alpha
0,0,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.1,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,8b238c094d21d4d52a454e3816bb0cf4cb4162e1453884e2ff82475a6320fbb0,139,-0.39653455699352536,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.0,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,05b133d06590ad6cc835754a7f78a8f6c203526b52b0593c08f35a6f51aa6920,136,-0.32340664588966406,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.0001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,6cbb46368a2737ee645419beed00eaf0496dddc8816f7ffadb31892399eae93e,136,-0.3222193895845893,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,5cbaaa48d6ec4fc6b2b95b9786e55516cea460dc392c4d2e6bae7f383e30e677,136,-0.31565350493606154,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.01,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,04d513a5e2afcaa805e1629b05c95310cc71229e2b55c7ddd989f8d5d0b7cb72,136,-0.314356151735014,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.1,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,751d8603c3e7b248d710278e996c15ec80fe66633aca3fd55bf01eaa611f1b21,136,-0.39653455699352536,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.0,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,89d21fdf26e2713f8be5373bad03a6e1b0d202cd14b81e49db18dfaceae05c1d,138,-0.32340664588966406,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.0001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,fec4394473c917c7a452e358d9479e4a38c35f0b159a2f9939c418a084b4be19,138,-0.3222193895845893,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.001,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,93253462060420876050b784394ebe6909e9c9e6e50ea78793cd97895e4e8983,138,-0.31565350493606154,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,retention_nonnegative,0.01,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,821a148e40e5c259d9352e8b06d7da6dcca0a4be940f7ce14f9b8987720befd7,138,-0.314356151735014,0.01
