speaker_split	tracker_id	start_offset_ms	end_offset_ms	paired_speaker_support	support_defined_n_ge_35	f1_20_positive_speakers	f1_20_zero_speakers	dress_minus_fleece_f1_20_median_hz	f2_20_positive_speakers	f2_20_zero_speakers	fleece_minus_dress_f2_20_median_hz	f1_30_positive_speakers	f1_30_zero_speakers	dress_minus_fleece_f1_30_median_hz	f2_30_positive_speakers	f2_30_zero_speakers	fleece_minus_dress_f2_30_median_hz	f1_40_positive_speakers	f1_40_zero_speakers	dress_minus_fleece_f1_40_median_hz	f2_40_positive_speakers	f2_40_zero_speakers	fleece_minus_dress_f2_40_median_hz	f1_50_positive_speakers	f1_50_zero_speakers	dress_minus_fleece_f1_50_median_hz	f2_50_positive_speakers	f2_50_zero_speakers	fleece_minus_dress_f2_50_median_hz	f1_60_positive_speakers	f1_60_zero_speakers	dress_minus_fleece_f1_60_median_hz	f2_60_positive_speakers	f2_60_zero_speakers	fleece_minus_dress_f2_60_median_hz	f1_70_positive_speakers	f1_70_zero_speakers	dress_minus_fleece_f1_70_median_hz	f2_70_positive_speakers	f2_70_zero_speakers	fleece_minus_dress_f2_70_median_hz	f1_80_positive_speakers	f1_80_zero_speakers	dress_minus_fleece_f1_80_median_hz	f2_80_positive_speakers	f2_80_zero_speakers	fleece_minus_dress_f2_80_median_hz	q_order_result
DEVELOPMENT_EVEN	T4500_W025	0	-20	44	DEFINED	44	0	198.214481974918	39	0	437.540350637034	44	0	220.817668539621	42	0	480.372576329697	44	0	233.555195998645	41	0	494.132528251969	44	0	243.447964007835	39	0	509.653796402958	44	0	250.205630510627	43	0	474.765045270589	44	0	251.059987325418	42	0	506.469324191792	44	0	231.239555294314	42	0	508.404672997042	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	0	-10	45	DEFINED	45	0	202.145152413385	42	0	447.726636606519	45	0	228.470626424808	42	0	490.395661316545	45	0	236.769069051322	40	0	509.968371471881	45	0	239.051967132759	44	0	489.756058080000	45	0	249.172541837318	43	0	477.729526458882	45	0	246.226745080111	43	0	514.037125377627	45	0	231.509506912324	44	0	481.964488492807	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	0	0	46	DEFINED	46	0	216.689982879896	43	0	448.330964852276	46	0	232.813674978143	43	0	474.817885750131	46	0	246.177025591858	40	0	479.937064990816	46	0	252.894995321517	44	0	525.951996487245	46	0	251.897239444551	44	0	526.691224202870	46	0	233.516646274699	43	0	515.305170524895	46	0	215.828806590023	44	0	465.324558713532	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	0	10	41	DEFINED	41	0	217.529849622729	38	0	513.673858655212	41	0	237.612235139480	37	0	495.434649003575	41	0	242.389314864078	36	0	527.480529323418	41	0	248.912550081158	38	0	530.348113255756	41	0	244.816725694853	39	0	553.261223429695	41	0	224.968263135567	39	0	522.972088760944	41	0	213.746263607255	39	0	413.091150422051	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	0	20	41	DEFINED	41	0	228.708829258861	38	0	502.376403082722	41	0	252.675284277155	38	0	428.193889123669	41	0	253.904182369229	40	0	524.156847292839	41	0	247.122197389396	38	0	560.430123001271	41	0	236.292077313675	37	0	482.317376577036	41	0	227.054427663760	39	0	424.958702519587	41	0	204.327037142084	31	0	288.067242478147	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	10	-20	46	DEFINED	46	0	223.255133331436	44	0	493.363814196181	46	0	226.407518987387	43	0	489.440131308853	46	0	245.344973550173	41	0	502.555475380278	46	0	242.054946584324	42	0	506.186444997508	46	0	255.578660305073	44	0	451.537554253950	46	0	252.489560613997	43	0	518.748298826607	46	0	249.888699904651	42	0	500.257626980777	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	10	-10	47	DEFINED	47	0	232.246380859834	45	0	477.898776192743	47	0	238.616162888289	42	0	480.937703262930	47	0	249.273148139291	40	0	489.226042471355	47	0	254.420464799830	45	0	500.395376989022	47	0	247.342604982962	44	0	503.255416677441	47	0	249.465047452702	43	0	531.650671654141	47	0	227.684173817414	44	0	493.072623888280	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	10	0	47	DEFINED	47	0	236.374357537573	43	0	494.875544866784	47	0	246.979947054311	41	0	488.339117962673	47	0	253.057066869269	45	0	500.317125163502	47	0	254.833625229121	44	0	516.953238172922	47	0	250.457837831954	44	0	519.630314684655	47	0	233.652863201040	43	0	494.694298252004	47	0	218.123275231367	43	0	452.753371089492	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	10	10	42	DEFINED	42	0	230.393354978709	38	0	493.355401147171	42	0	249.050603280455	38	0	486.873848481621	42	0	248.353644541530	39	0	518.829934971456	42	0	247.184020849793	40	0	565.273684401925	42	0	238.885666028922	38	0	550.702181647134	42	0	225.203981005830	40	0	470.543090100586	42	0	213.791323651186	36	0	397.708140862183	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T4500_W025	10	20	42	DEFINED	42	0	239.604447783179	37	0	457.941185217904	42	0	241.866494857290	37	0	510.375465531743	42	0	246.226870615856	39	0	512.326197562547	42	0	239.598627570488	39	0	522.212948905153	42	0	230.509379872810	40	0	466.676813121798	42	0	218.313642817888	39	0	410.744783963111	42	0	199.199911863200	29	0	266.335816873439	DEFINED_ALL_14_POSITIVE
