result_id	proof_goal_id	title	status	exact_result
CALC-F1	CALC-F1.REFUSALS.05	Malformed-contract refusal matrix	MachineClosed	"[[""NOT EVALUATED"",""NOT EVALUATED"",""NOT EVALUATED"",""NOT EVALUATED"",""NOT EVALUATED"",""NOT EVALUATED"",""NOT EVALUATED""],[""MalformedContract"",""MalformedContract"",""MalformedContract"",""MalformedContract"",""MalformedContract"",""MalformedContract"",""MalformedContract""]]"
CALC-R03	CALC-R03.REFUSAL.01	Empty pair family	MachineClosed	"{""Class"":""NOT EVALUATED"",""Dependencies"":[{""Status"":""FAIL"",""Witness"":""QUERY SEMANTICS NOT COMPARABLE""}]}"
CALC-R08	CALC-R08.STATUS.01	Two typed vacuity labels	MachineClosed	"[""EMPTY LICENSED SOURCE IMAGE: SEMANTIC INVERSE VACUOUS"",""REPRESENTATIVE INVERSE VACUOUS: EMPTY LICENSED SOURCE IMAGE""]"
CALC-R15	CALC-R15.EXTERNAL.01	Incomplete source remains incomplete	MachineClosed	"[""Q-CONSERVATIVE"",""INCOMPLETE""]"
FIN-A7	FIN-A7.REFUSALS.05	Response-import refusal matrix	MachineClosed	"[{""CarrierDecision"":""NOT EVALUATED"",""Missing"":""CodeCarrier"",""SourceWitness"":""NOT EVALUATED""},{""CarrierDecision"":""NOT EVALUATED"",""Missing"":""Interpretation"",""SourceWitness"":""NOT EVALUATED""},{""CarrierDecision"":""NOT EVALUATED"",""Missing"":""SemanticEquality"",""SourceWitness"":""NOT EVALUATED""},{""CarrierDecision"":""NOT EVALUATED"",""Missing"":""ReachableImage"",""SourceWitness"":""NOT EVALUATED""},{""CarrierDecision"":""NOT EVALUATED"",""Missing"":""Reader"",""SourceWitness"":""NOT EVALUATED""},{""CarrierDecision"":""NOT EVALUATED"",""Missing"":""Descent"",""SourceWitness"":""NOT EVALUATED""},{""CarrierDecision"":""AVAILABLE"",""Missing"":""SourceSection"",""SourceWitness"":""NOT EVALUATED""}]"
