setting	analysis_variant	information_protocol	approximation	model	regularization_view	roots	incidences	root_balanced_joint	incidence_weighted_joint	root_balanced_raising	root_balanced_harmony_old_vs_opposite
uniform20	unrounded_strict	side_informed	not_applicable	retention_nonnegative	selected	338	29104	-0.3383412908643424	-0.17017277512316437	-0.11585054067715791	-0.22521079488614162
uniform20	unrounded_strict	wholly_unseen	gh80	HU_plus_surface	selected	338	29104	-0.5718085028190586	-0.5126255670679871	-0.3935390520966265	-0.1864949686225182
uniform20	unrounded_strict	wholly_unseen	gh80	retention_bounded_plus_HU	selected	338	29104	-0.6071815732207283	-0.5525582862682141	-0.4008010522946584	-0.215813513890613
uniform20	unrounded_strict	wholly_unseen	laplace	HU_plus_surface	selected	338	29104	-0.5764529981807004	-0.5136665469011628	-0.39332989431308524	-0.19116262803568662
uniform20	unrounded_strict	wholly_unseen	laplace	retention_bounded_plus_HU	selected	338	29104	-0.6015916047972841	-0.536986190654497	-0.40383096431533877	-0.2078455430032357
uniform20	unrounded_strict	wholly_unseen	not_applicable	current_only	selected	338	29104	-0.868305589884355	-0.8300246624765222	-0.3995603571715899	-0.4756794838601015
uniform20	unrounded_strict	wholly_unseen	not_applicable	input_plus_surface	selected	338	29104	-0.5936122571381781	-0.5192810590716442	-0.3990515968692578	-0.20764979754766552
uniform20	unrounded_strict	wholly_unseen	not_applicable	retention_bounded	selected	338	29104	-0.6237971321585601	-0.5145387483541045	-0.4192053395050514	-0.22058391161995056
uniform20	unrounded_strict	wholly_unseen	not_applicable	retention_nonnegative	selected	338	29104	-0.6170523301153328	-0.5351347160059717	-0.3945615799281483	-0.2286792454374531
uniform20	all_agreeing_offsets	side_informed	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3015296680673689	-0.09259770059748373	-0.10075697510867623	-0.20271943749353583
uniform20	all_agreeing_offsets	side_informed	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.2957414835113027	-0.09094999919747032	-0.10293943888851582	-0.19800351892274393
uniform20	all_agreeing_offsets	side_informed	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.29466124197433174	-0.09217372064626496	-0.1001375863543958	-0.19628397895847205
uniform20	all_agreeing_offsets	side_informed	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.28777979324950603	-0.09052882088516133	-0.10227031199637428	-0.19000882910666847
uniform20	all_agreeing_offsets	side_informed	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5851952746170285	-0.3325028973017737	-0.12687939365134765	-0.48691613415394286
uniform20	all_agreeing_offsets	side_informed	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.32084259142768534	-0.08959461746935318	-0.10293990893504075	-0.22265902696325132
uniform20	all_agreeing_offsets	side_informed	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3274305795490201	-0.09483002634923822	-0.10660881104688481	-0.22930847268286977
uniform20	all_agreeing_offsets	side_informed	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.32743058001378034	-0.09483002714943803	-0.10660881125308337	-0.22930847302910384
uniform20	all_agreeing_offsets	wholly_unseen	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5641065525772907	-0.7488354491243752	-0.36848083430525647	-0.20125904190591737
uniform20	all_agreeing_offsets	wholly_unseen	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5687510120026947	-0.7515662145507426	-0.3796590582017486	-0.20090800407078255
uniform20	all_agreeing_offsets	wholly_unseen	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5602810479084793	-0.7501150927219524	-0.36976070576795655	-0.19889451143447534
uniform20	all_agreeing_offsets	wholly_unseen	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5607951727513153	-0.751589563024221	-0.38005508241207003	-0.19259230484402723
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.9012393548899981	-1.0345344764619235	-0.4429234739243172	-0.5286121969182529
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5912516830951927	-0.7488339685190751	-0.37334900060254805	-0.22834102146325344
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6109695905430003	-0.7597313377318053	-0.39014782204086496	-0.23951262054827438
uniform20	all_agreeing_offsets	wholly_unseen	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6109695916053294	-0.7597313391912623	-0.39014782284463234	-0.23951262075747237
uniform20	all_strict	side_informed	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3084854330257459	-0.09639653751103484	-0.1092338689451817	-0.20312155182053987
uniform20	all_strict	side_informed	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.31475504118694225	-0.09787926799678062	-0.11506188471010335	-0.20582068722244834
uniform20	all_strict	side_informed	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.29948765451900566	-0.09549225266435574	-0.10860477643919733	-0.1940282691484162
uniform20	all_strict	side_informed	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3062008255427719	-0.09741137634610442	-0.11447380908876444	-0.19705293540214552
uniform20	all_strict	side_informed	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5753309593749849	-0.32793877467148624	-0.11701507840930392	-0.45951489959746855
uniform20	all_strict	side_informed	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3301650060231755	-0.0934241361888078	-0.11342002879544598	-0.22498510864785845
uniform20	all_strict	side_informed	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3516881419769225	-0.1023734309329062	-0.1207967434994462	-0.24132377991637916
uniform20	all_strict	side_informed	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.3516881398827823	-0.10237343028487604	-0.12079674577553118	-0.2413237770289874
uniform20	all_strict	wholly_unseen	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5810846793944389	-0.6625044081406625	-0.38662875725985807	-0.20391390745761814
uniform20	all_strict	wholly_unseen	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6027849946446013	-0.6741817975419825	-0.40720507072156553	-0.2100625138939628
uniform20	all_strict	wholly_unseen	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5755169170992929	-0.6634023280800821	-0.3883817411336419	-0.19770977302219891
uniform20	all_strict	wholly_unseen	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.5947317711029068	-0.6745559802599052	-0.4079248053039146	-0.20101203909635684
uniform20	all_strict	wholly_unseen	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.8595301440084168	-0.9102999807291144	-0.4012142630427357	-0.4315029693084874
uniform20	all_strict	wholly_unseen	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.613738127684253	-0.6638758529580451	-0.3969931504565234	-0.23490647003152926
uniform20	all_strict	wholly_unseen	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6538233109300761	-0.6849505021283747	-0.4229319124525998	-0.25407200930727836
uniform20	all_strict	wholly_unseen	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	515	58577	-0.6538233138326848	-0.6849505053915025	-0.4229319197254338	-0.25407200774978783
uniform20	unrounded_strict	side_informed	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.31976577708242687	-0.14513876135353482	-0.11964772481527075	-0.2047055187754947
uniform20	unrounded_strict	side_informed	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3335928647449313	-0.15668825937313735	-0.1265875784833466	-0.21357660574500864
uniform20	unrounded_strict	side_informed	laplace	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3320658918700238	-0.15015677506322686	-0.1195631612973318	-0.21682864810882094
uniform20	unrounded_strict	side_informed	laplace	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3380190751053069	-0.16042286925945948	-0.12630241919701762	-0.21750133059535437
uniform20	unrounded_strict	side_informed	not_applicable	current_only	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6033794806630256	-0.4759010419054663	-0.11442573597690339	-0.478044018178139
uniform20	unrounded_strict	side_informed	not_applicable	input_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3441009120625221	-0.15136756440642496	-0.12499706605305753	-0.22822264707785378
uniform20	unrounded_strict	side_informed	not_applicable	retention_bounded	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.3676256429520778	-0.16534400247950104	-0.13329134386532615	-0.2452372010440086
uniform20	unrounded_strict	side_informed	not_applicable	retention_nonnegative	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.36762564294188893	-0.16534400244855696	-0.13329134390594882	-0.24523720101725005
uniform20	unrounded_strict	wholly_unseen	gh80	HU_plus_surface	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.6057105801741773	-0.4989197738870857	-0.4032448492319671	-0.21418589808727562
uniform20	unrounded_strict	wholly_unseen	gh80	retention_bounded_plus_HU	alpha_zero_numeric_candidate_pending_separability	338	29104	-0.62798190066941	-0.5111805928799793	-0.4197123559687831	-0.2217616408944733
