"speaker_split"	"tracker_id"	"start_offset_ms"	"end_offset_ms"	"paired_speaker_support"	"f1_20_positive_speakers"	"f1_20_zero_speakers"	"dress_minus_fleece_f1_20_median_hz"	"f2_20_positive_speakers"	"f2_20_zero_speakers"	"fleece_minus_dress_f2_20_median_hz"	"f1_30_positive_speakers"	"f1_30_zero_speakers"	"dress_minus_fleece_f1_30_median_hz"	"f2_30_positive_speakers"	"f2_30_zero_speakers"	"fleece_minus_dress_f2_30_median_hz"	"f1_40_positive_speakers"	"f1_40_zero_speakers"	"dress_minus_fleece_f1_40_median_hz"	"f2_40_positive_speakers"	"f2_40_zero_speakers"	"fleece_minus_dress_f2_40_median_hz"	"f1_50_positive_speakers"	"f1_50_zero_speakers"	"dress_minus_fleece_f1_50_median_hz"	"f2_50_positive_speakers"	"f2_50_zero_speakers"	"fleece_minus_dress_f2_50_median_hz"	"f1_60_positive_speakers"	"f1_60_zero_speakers"	"dress_minus_fleece_f1_60_median_hz"	"f2_60_positive_speakers"	"f2_60_zero_speakers"	"fleece_minus_dress_f2_60_median_hz"	"f1_70_positive_speakers"	"f1_70_zero_speakers"	"dress_minus_fleece_f1_70_median_hz"	"f2_70_positive_speakers"	"f2_70_zero_speakers"	"fleece_minus_dress_f2_70_median_hz"	"f1_80_positive_speakers"	"f1_80_zero_speakers"	"dress_minus_fleece_f1_80_median_hz"	"f2_80_positive_speakers"	"f2_80_zero_speakers"	"fleece_minus_dress_f2_80_median_hz"
"DEVELOPMENT_EVEN"	"T5000_W030"	-10	-20	47	47	0	"177 908137523801/1000000000000"	47	0	"465 106373405323/1000000000000"	47	0	"208 204854047287/250000000000"	46	0	"535 52225708071/125000000000"	47	0	"240 639174437017/1000000000000"	47	0	"543 37496794807/40000000000"	47	0	"259 784901936839/1000000000000"	47	0	"571 20658318/48828125"	47	0	"269 635136295061/1000000000000"	46	0	"589 9183043157/100000000000"	47	0	"269 1583864911/31250000000"	46	0	"601 283869683443/500000000000"	47	0	"266 14322553089/125000000000"	46	0	"595 31906019529/200000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	-10	-10	47	47	0	"184 92112610611/500000000000"	47	0	"502 61810337319/62500000000"	47	0	"220 11729499479/12500000000"	47	0	"512 75867494867/1000000000000"	47	0	"256 832452779863/1000000000000"	47	0	"549 502180215007/1000000000000"	47	0	"265 117712868671/125000000000"	47	0	"575 18665376621/200000000000"	47	0	"274 54710163763/125000000000"	46	0	"587 213244439357/1000000000000"	47	0	"265 803222349463/1000000000000"	46	0	"600 67775231877/250000000000"	47	0	"259 537647776697/1000000000000"	46	0	"569 247240279943/250000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	-10	0	47	47	0	"191 7101084763/1000000000000"	47	0	"507 821728496829/1000000000000"	47	0	"233 96198722493/200000000000"	47	0	"524 317527819619/1000000000000"	47	0	"260 603747100449/1000000000000"	47	0	"555 29009696591/50000000000"	47	0	"274 28783155301/100000000000"	46	0	"579 61308356811/250000000000"	47	0	"273 1938452333/4000000000"	46	0	"586 682906129883/1000000000000"	47	0	"258 90655406069/250000000000"	46	0	"570 91228258837/200000000000"	47	0	"247 91699323999/500000000000"	47	0	"517 212662809103/1000000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	-10	10	45	45	0	"203 163506314739/1000000000000"	45	0	"535 443262479/50000000000"	45	0	"243 863928037627/1000000000000"	45	0	"576 249406540589/250000000000"	45	0	"263 974244936713/1000000000000"	44	0	"589 171814462737/500000000000"	45	0	"272 35739105217/100000000000"	44	0	"621 254448668901/500000000000"	45	0	"256 939734223197/1000000000000"	44	0	"605 171275275497/500000000000"	45	0	"239 21743688041/125000000000"	45	0	"584 271909926877/500000000000"	45	0	"224 340443549061/500000000000"	44	0	"502 11551391603/12500000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	-10	20	46	46	0	"212 505349540471/1000000000000"	45	0	"539 47738680349/62500000000"	46	0	"252 248342106183/1000000000000"	46	0	"580 114425352719/250000000000"	46	0	"271 485552182431/500000000000"	46	0	"604 826281847137/1000000000000"	46	0	"266 324589006757/1000000000000"	44	0	"620 176240597773/250000000000"	46	0	"259 612756307899/1000000000000"	45	0	"619 218496222813/250000000000"	46	0	"241 429704348079/500000000000"	45	0	"545 2496428273/250000000000"	46	0	"227 853903413751/1000000000000"	44	0	"455 139952860743/250000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	0	-20	49	49	0	"208 644740842083/1000000000000"	49	0	"478 491425937209/500000000000"	49	0	"230 411197869577/1000000000000"	49	0	"512 847441959889/1000000000000"	49	0	"252 149214206807/250000000000"	49	0	"520 7211907799/100000000000"	49	0	"263 23354397049/250000000000"	48	0	"545 38319357429/40000000000"	49	0	"265 11767343091/12500000000"	48	0	"577 269496049491/1000000000000"	49	0	"270 97086203709/1000000000000"	48	0	"563 108687215007/1000000000000"	49	0	"260 517028176813/1000000000000"	48	0	"559 493840843429/500000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	0	-10	49	49	0	"217 21239511489/250000000000"	49	0	"505 461541150481/1000000000000"	49	0	"239 222278484033/500000000000"	49	0	"514 97853137371/1000000000000"	49	0	"261 36144858319/500000000000"	49	0	"540 124021039739/200000000000"	49	0	"270 55424179111/100000000000"	48	0	"543 54161278511/125000000000"	49	0	"270 171242074991/250000000000"	48	0	"565 374430702647/1000000000000"	49	0	"263 393053188973/1000000000000"	48	0	"564 255752113419/1000000000000"	49	0	"245 679744467549/1000000000000"	48	0	"534 486659099279/500000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	0	0	49	49	0	"221 3182218289/125000000000"	49	0	"501 562787521591/1000000000000"	49	0	"245 113789730359/200000000000"	49	0	"515 354821289583/500000000000"	49	0	"264 547654462851/1000000000000"	48	0	"542 732722402161/1000000000000"	49	0	"270 398222281031/500000000000"	48	0	"581 164418210117/250000000000"	49	0	"271 27191299161/200000000000"	48	0	"564 389812797971/1000000000000"	49	0	"256 60386760847/250000000000"	48	0	"544 38159045397/40000000000"	49	0	"242 109662035129/125000000000"	49	0	"462 77260460159/500000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	0	10	49	49	0	"231 358384499783/500000000000"	47	0	"551 322951083113/1000000000000"	49	0	"254 325889415041/500000000000"	48	0	"550 108653170617/250000000000"	49	0	"266 66268671529/250000000000"	48	0	"582 71884932609/1000000000000"	49	0	"264 704755631867/1000000000000"	48	0	"592 270926078509/1000000000000"	49	0	"258 107144796981/500000000000"	48	0	"589 75825734241/250000000000"	49	0	"242 262958542353/500000000000"	48	0	"565 106745778313/500000000000"	49	0	"228 58710449363/100000000000"	47	0	"453 440500945261/1000000000000"
"DEVELOPMENT_EVEN"	"T5000_W030"	0	20	49	49	0	"240 429295928051/1000000000000"	47	0	"554 428223922097/500000000000"	49	0	"261 52441883953/62500000000"	48	0	"570 202813987039/500000000000"	49	0	"270 195922577437/200000000000"	48	0	"580 717012454349/1000000000000"	49	0	"268 91106168863/250000000000"	48	0	"578 242183830999/1000000000000"	49	0	"251 313084899749/1000000000000"	48	0	"576 120954809033/500000000000"	49	0	"238 79148126177/250000000000"	46	0	"514 696793316131/1000000000000"	49	0	"219 950714716397/1000000000000"	45	0	"342 925997695423/1000000000000"
